Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Critical adapted distance,Velocity at critical distance,Critical
0,0.419949,1.285115,3.837486,-0.987701,-1.375587,1
1,0.341909,0.572399,1.470579,-0.988230,-1.158558,1
2,0.881689,1.310347,0.056278,-0.259304,-3.424055,0
3,0.572701,1.702547,3.237613,-0.259505,-1.759006,0
4,0.445482,1.338157,3.384411,-0.965397,-1.430458,1
5,0.325239,0.757910,3.603223,-0.972841,-1.118164,1
6,0.635664,0.847527,1.484347,-0.012073,-1.895645,0
7,0.737000,1.830171,4.169464,-0.000000,-2.042895,0
8,0.997567,1.220434,4.149273,-0.000000,-2.910771,0
9,0.975116,0.785792,2.612831,-0.000000,-2.576086,0
10,0.913580,1.323056,2.701376,-0.000000,-2.521295,0
11,0.522698,0.926831,2.402548,-0.043864,-1.628240,0
12,0.408230,1.961909,3.234676,-0.253565,-1.360600,0
13,0.732023,0.922215,0.778155,-0.476133,-0.394582,0
14,0.610529,1.813416,4.049612,-0.000000,-1.841101,0
15,0.798818,1.772458,4.050572,-0.000000,-2.099430,0
16,0.852760,0.735897,2.479634,-0.000000,-2.445002,0
17,0.519007,1.112683,3.116906,-0.003465,-1.624601,0
18,0.381578,1.027732,1.164362,-0.203716,-1.279840,0
19,0.673075,1.368075,1.942549,-0.363800,-0.156227,0
20,0.449128,1.356179,2.548459,-0.209284,-0.194733,0
21,0.627205,1.318087,4.533567,-0.000000,-1.821712,0
22,0.746931,0.590500,2.211740,-0.000000,-2.084683,0
23,0.444292,1.485224,0.221760,-0.001338,-1.486621,0
24,0.334270,0.985622,1.315904,-0.095370,-1.161953,0
25,0.633898,1.966229,2.387394,-0.179816,-0.214407,0
26,0.327258,1.136856,1.130234,-0.008998,-1.170022,0
27,0.328421,1.179774,2.517412,-0.175346,-1.152890,0
28,0.345765,1.320414,4.082178,-0.344316,-0.138393,0
29,0.456352,0.907304,4.027890,-0.000000,-1.460786,0
30,0.289720,0.699479,4.806871,-0.007510,-1.016305,0
31,0.610388,1.548399,1.440255,-0.138258,-0.162676,0
32,0.728631,1.073549,0.540320,-0.317752,-0.009099,0
33,0.528018,1.182744,1.138426,-0.170276,-0.010907,0
34,0.431548,0.685587,4.370642,-0.000000,-1.377464,0
35,0.155157,1.651746,3.308072,-0.000145,-0.757898,0
36,0.117784,0.720483,1.009466,-0.000467,-0.613174,0
37,0.656554,1.426990,0.717142,-0.127856,-0.086866,0
38,0.123686,0.899812,1.060006,-0.000096,-0.655639,0
39,0.672396,1.150699,0.171885,-0.121038,-0.043121,0
40,0.419949,1.285115,3.837486,-0.987701,-1.375587,1
41,0.697722,1.358595,1.138426,-0.303480,-3.361456,0
42,0.741983,0.916503,0.743907,-0.368869,-2.081017,0
43,0.874603,1.316059,0.090901,-0.286153,-4.426677,0
44,0.334270,1.087042,4.028496,-0.985151,-1.681349,1
45,0.342397,0.805425,3.496861,-0.990318,-1.159913,1
46,0.881689,1.310347,0.056278,-0.259304,-3.424055,0
47,0.572701,1.702547,3.237613,-0.259505,-1.759006,0
48,0.445482,1.338157,3.384411,-0.965397,-1.430458,1
49,0.456352,0.907304,2.617694,-0.778440,-1.471283,1
50,0.341909,0.572399,1.470579,-0.988230,-1.158558,1
51,0.997567,1.220434,4.149273,-0.000000,-2.910771,0
52,0.997567,0.894095,1.016947,-0.000000,-2.904613,0
53,0.993998,1.220434,1.009567,-0.000074,-2.899588,0
54,0.732023,0.895536,0.829488,-0.176175,-2.064038,0
55,0.999414,1.220434,4.122087,-0.000000,-2.919154,0
56,0.408230,1.961909,3.234676,-0.253565,-1.360600,0
57,0.341909,0.583450,1.562016,-0.983168,-1.158558,1
58,0.975116,0.785792,2.612831,-0.000000,-2.576086,0
59,0.913580,1.323056,2.701376,-0.000000,-2.521295,0
60,0.737000,1.830171,4.169464,-0.000000,-2.042895,0
61,0.643102,1.356179,2.548459,-0.023207,-1.915743,0
62,0.584094,1.702547,3.215830,-0.136880,-1.773098,0
63,0.381578,1.027732,1.164362,-0.203716,-1.279840,0
64,0.325239,0.757910,3.603223,-0.972841,-1.118164,1
65,0.798818,1.772458,4.050572,-0.000000,-2.099430,0
66,0.851696,0.735897,2.214650,-0.000000,-2.445424,0
67,0.853571,0.853339,2.618729,-0.000000,-2.447741,0
68,0.635664,0.847527,1.484347,-0.012073,-1.895645,0
69,0.639503,0.567621,2.211740,-0.000000,-1.897613,0
70,0.522698,0.926831,2.402548,-0.043864,-1.628240,0
71,0.328421,1.179774,2.517412,-0.175346,-1.152890,0
72,0.345765,0.987126,1.369586,-0.170719,-1.177850,0
73,0.325239,0.770531,3.723015,-0.927710,-1.118164,1
74,0.852760,0.732423,2.362112,-0.000000,-2.446062,0
75,0.324751,0.573168,1.576941,-0.535216,-0.022982,0
76,0.328421,1.179774,3.927609,-0.295949,-0.550248,0
77,0.732023,0.922215,0.778155,-0.476133,-0.394582,0
78,0.289720,1.963259,4.803444,-0.138138,-1.038713,0
79,0.334270,0.985622,1.315904,-0.095370,-1.161953,0
80,0.419949,1.285115,3.837486,-0.987701,-1.375587,1
81,0.697722,1.358595,1.138426,-0.303480,-3.361456,0
82,0.874603,1.316059,0.090901,-0.286153,-4.426677,0
83,0.342397,0.736343,2.950889,-0.996055,-1.159913,1
84,0.804772,1.306941,1.188710,-0.925627,-2.199883,1
85,0.334270,1.088936,4.028496,-0.985409,-1.681349,1
86,0.881689,1.310347,0.022480,-0.227055,-4.443078,0
87,0.881689,1.310347,0.056278,-0.259304,-3.424055,0
88,0.342397,0.805425,3.496861,-0.990318,-1.159913,1
89,0.342392,0.807199,3.466071,-0.992186,-1.159897,1
90,0.741983,0.916503,0.743907,-0.368869,-2.081017,0
91,0.334270,1.087042,4.028496,-0.985151,-1.681349,1
92,0.997567,1.220434,4.149273,-0.000000,-2.910771,0
93,0.997567,0.894095,1.016947,-0.000000,-2.904613,0
94,0.999414,1.220434,4.122087,-0.000000,-2.919154,0
95,0.697722,1.358595,1.074244,-0.212243,-2.694527,0
96,0.993998,1.220434,0.996142,-0.000093,-2.899588,0
97,0.342397,0.803531,3.496861,-0.989880,-1.159913,1
98,0.323655,0.747085,3.231818,-0.991410,-1.112602,1
99,0.741983,0.916503,0.757332,-0.348092,-2.081017,0
100,0.445482,1.338157,3.384411,-0.965397,-1.430458,1
101,0.343433,1.180724,3.930955,-0.521856,-1.508278,0
102,0.456352,0.911797,2.617694,-0.815585,-1.471283,1
103,0.456736,0.907304,2.617694,-0.784563,-1.471349,1
104,0.874603,0.798313,0.075507,-0.003218,-2.457359,0
105,0.993998,1.220434,1.009567,-0.000074,-2.899588,0
106,0.341909,0.572399,1.470579,-0.988230,-1.158558,1
107,0.572701,1.702547,3.237613,-0.259505,-1.759006,0
108,0.732023,0.895536,0.829488,-0.176175,-2.064038,0
109,0.456352,0.907304,2.617694,-0.778440,-1.471283,1
110,0.975116,0.785792,2.612831,-0.000000,-2.576086,0
111,0.913580,1.323056,2.701376,-0.000000,-2.521295,0
112,0.852760,0.932829,2.362112,-0.000000,-2.451532,0
113,0.341909,0.583450,1.562016,-0.983168,-1.158558,1
114,0.643102,1.356179,2.548459,-0.023207,-1.915743,0
115,0.584094,1.702547,3.215830,-0.136880,-1.773098,0
116,0.732023,0.721809,0.774857,-0.000098,-2.064038,0
117,0.408230,1.961909,3.234676,-0.253565,-1.360600,0
118,0.325239,0.757910,3.603223,-0.972841,-1.118164,1
119,0.974520,1.219485,4.118740,-0.000000,-2.571853,0
120,0.419949,1.285115,3.837486,-0.987701,-1.375587,1
121,0.874603,1.316059,0.090901,-0.286153,-4.426677,0
122,0.804772,1.306941,1.188710,-0.925627,-2.199883,1
123,0.334270,1.088936,4.028496,-0.985409,-1.681349,1
124,0.881689,1.310347,0.022480,-0.227055,-4.443078,0
125,0.697722,1.358595,1.197604,-0.453230,-3.679752,0
126,0.336272,1.087967,4.028496,-0.983345,-1.717209,1
127,0.342402,0.809328,3.432315,-0.995747,-1.159941,1
128,0.342397,0.736233,2.900949,-0.998054,-1.159913,1
129,0.804772,1.216557,1.188710,-0.470049,-2.198310,0
130,0.334270,1.087042,4.028496,-0.985151,-1.681349,1
131,0.697722,1.358595,1.138426,-0.303480,-3.361456,0
132,0.881689,1.310347,0.056278,-0.259304,-3.424055,0
133,0.342397,0.736343,2.950889,-0.996055,-1.159913,1
134,0.342392,0.736013,2.951501,-0.996098,-1.159897,1
135,0.741983,0.916503,0.743907,-0.368869,-2.081017,0
136,0.445482,1.338157,3.384411,-0.965397,-1.430458,1
137,0.343433,1.180724,3.930955,-0.521856,-1.508278,0
138,0.456352,0.911797,2.617694,-0.815585,-1.471283,1
139,0.456736,0.907304,2.617694,-0.784563,-1.471349,1
140,0.697722,1.358595,1.074244,-0.212243,-2.694527,0
141,0.998607,0.810598,0.090737,-0.000023,-2.919274,0
142,0.993998,1.310819,0.996142,-0.001557,-2.901721,0
143,0.342397,0.807529,3.465458,-0.992131,-1.159913,1
144,0.342392,0.807199,3.466071,-0.992186,-1.159897,1
145,0.342392,0.807199,3.466219,-0.992186,-1.159897,1
146,0.741983,0.916503,0.757332,-0.348092,-2.081017,0
147,0.456352,0.907304,2.617694,-0.778440,-1.471283,1
148,0.874603,0.798313,0.075507,-0.003218,-2.457359,0
149,0.836468,1.306941,1.373244,-0.038174,-2.318375,0
150,0.997567,1.220434,4.149273,-0.000000,-2.910771,0
151,0.997567,0.894095,1.016947,-0.000000,-2.904613,0
152,0.999414,1.220434,4.122087,-0.000000,-2.919154,0
153,0.993998,1.220434,0.996142,-0.000093,-2.899588,0
154,0.342397,0.805425,3.496861,-0.990318,-1.159913,1
155,0.323655,0.747085,3.231818,-0.991410,-1.112602,1
156,0.342397,0.803531,3.496861,-0.989880,-1.159913,1
157,0.993998,1.220434,1.009567,-0.000074,-2.899588,0
158,0.881689,1.310347,0.200886,-0.304709,-1.334274,0
159,0.732023,0.895536,0.829488,-0.176175,-2.064038,0
160,0.419949,1.285115,3.837486,-0.987701,-1.375587,1
161,0.874603,1.316059,0.090901,-0.286153,-4.426677,0
162,0.804772,1.306941,1.188710,-0.925627,-2.199883,1
163,0.334270,1.088936,4.028496,-0.985409,-1.681349,1
164,0.881689,1.310347,0.022480,-0.227055,-4.443078,0
165,0.697722,1.358595,1.197604,-0.453230,-3.679752,0
166,0.336272,1.087967,4.028496,-0.983345,-1.717209,1
167,0.342402,0.809328,3.432315,-0.995747,-1.159941,1
168,0.342397,0.736233,2.900949,-0.998054,-1.159913,1
169,0.834810,1.310347,0.200886,-0.260854,-4.138513,0
170,0.804772,1.216557,1.188710,-0.470049,-2.198310,0
171,0.334270,1.087042,4.028496,-0.985151,-1.681349,1
172,0.881689,1.310347,0.010706,-0.205564,-4.443078,0
173,0.697722,1.358595,1.138426,-0.303480,-3.361456,0
174,0.342397,0.736512,2.955368,-0.996100,-1.159913,1
175,0.881689,1.310347,0.056278,-0.259304,-3.424055,0
176,0.741983,0.924346,0.757332,-0.408411,-2.081017,0
177,0.334270,1.088936,4.043752,-0.984790,-1.681349,1
178,0.342397,0.736343,2.950889,-0.996055,-1.159913,1
179,0.342392,0.736013,2.951501,-0.996098,-1.159897,1
180,0.697722,1.358595,1.074244,-0.212243,-2.694527,0
181,0.999313,1.212428,0.537597,-0.134507,-2.923461,0
182,0.741983,0.916503,0.743907,-0.368869,-2.081017,0
183,0.445482,1.338157,3.384411,-0.965397,-1.430458,1
184,0.343433,1.180724,3.930955,-0.521856,-1.508278,0
185,0.456352,0.911797,2.617694,-0.815585,-1.471283,1
186,0.456736,0.907304,2.617694,-0.784563,-1.471349,1
187,0.342397,0.728390,2.900949,-0.995957,-1.159913,1
188,0.836468,1.306941,1.373244,-0.038174,-2.318375,0
189,0.963170,1.310819,0.996142,-0.011117,-2.780844,0
190,0.999087,1.220434,0.760213,-0.006451,-2.920712,0
191,0.999884,1.220434,4.122087,-0.000000,-2.921214,0
192,0.741983,0.916503,0.757332,-0.348092,-2.081017,0
193,0.456352,0.907304,2.617694,-0.778440,-1.471283,1
194,0.342397,0.805257,3.371454,-0.995580,-1.159913,1
195,0.323865,0.739410,3.308705,-0.995703,-1.113464,1
196,0.336062,0.939289,4.028496,-0.993602,-1.144925,1
197,0.998607,0.810598,0.090737,-0.000023,-2.919274,0
198,0.881689,1.310347,0.200886,-0.304709,-1.334274,0
199,0.361923,0.736272,2.951501,-0.660083,-1.218547,1
200,0.419949,1.285115,3.837486,-0.987701,-1.375587,1
201,0.874603,1.316059,0.090901,-0.286153,-4.426677,0
202,0.804772,1.306941,1.188710,-0.925627,-2.199883,1
203,0.334270,1.088936,4.028496,-0.985409,-1.681349,1
204,0.881689,1.310347,0.022480,-0.227055,-4.443078,0
205,0.697722,1.358595,1.197604,-0.453230,-3.679752,0
206,0.336272,1.087967,4.028496,-0.983345,-1.717209,1
207,0.342402,0.809328,3.432315,-0.995747,-1.159941,1
208,0.342397,0.736233,2.900949,-0.998054,-1.159913,1
209,0.342489,0.736013,2.951501,-0.995911,-1.159929,1
210,0.392502,1.285115,3.890748,-0.993672,-1.290195,1
211,0.697722,1.358595,1.197393,-0.453230,-3.679752,0
212,0.834810,1.310347,0.200886,-0.260854,-4.138513,0
213,0.804772,1.306887,1.233024,-0.820881,-2.198310,1
214,0.334270,1.087042,4.028496,-0.985151,-1.681349,1
215,0.881689,1.310347,0.010706,-0.205564,-4.443078,0
216,0.334172,1.088936,4.028496,-0.979802,-1.682435,1
217,0.342397,0.736512,2.955368,-0.996100,-1.159913,1
218,0.697722,1.358595,1.138426,-0.303480,-3.361456,0
219,0.697722,1.358595,1.138636,-0.303480,-3.361456,0
220,0.881689,1.310347,0.056278,-0.259304,-3.424055,0
221,0.804772,1.216557,1.188710,-0.470049,-2.198310,0
222,0.334270,1.088936,4.043752,-0.984790,-1.681349,1
223,0.342397,0.736343,2.950889,-0.996055,-1.159913,1
224,0.342392,0.736013,2.951501,-0.996098,-1.159897,1
225,0.697722,1.358595,1.074244,-0.212243,-2.694527,0
226,0.999313,1.212428,0.537597,-0.134507,-2.923461,0
227,0.999323,1.212428,0.533856,-0.134507,-2.923461,0
228,0.741983,0.924346,0.757332,-0.408411,-2.081017,0
229,0.445482,1.338157,3.384411,-0.965397,-1.430458,1
230,0.343433,1.180724,3.930955,-0.521856,-1.508278,0
231,0.369206,0.810598,2.970208,-0.984557,-1.241014,1
232,0.456736,0.926492,2.617694,-0.924895,-1.471349,1
233,0.342397,0.728444,2.900949,-0.995972,-1.159913,1
