Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance
0,0.683893,0.858110,0.488754,-0.979911,-2.853069
1,0.782050,1.041434,0.814579,-0.739406,-2.117159
2,0.384136,1.975481,4.767137,-0.781179,-1.275641
3,0.683893,0.858110,0.488754,-0.979911,-2.853069
4,0.782050,1.041434,0.814579,-0.739406,-2.117159
5,0.657096,1.347534,2.046813,-0.864651,-1.937134
6,0.637357,0.858110,0.489238,-0.736778,-2.808768
7,0.384136,1.975481,4.767137,-0.781179,-1.275641
8,0.384136,1.975481,4.808089,-0.846797,-1.271930
9,0.379870,1.973243,4.767137,-0.678354,-1.086621
10,0.683893,0.858110,0.488754,-0.979911,-2.853069
11,0.619027,1.555523,2.420795,-0.997791,-1.865511
12,0.683893,0.864506,0.488754,-0.979143,-2.853069
13,0.408510,1.984637,4.767137,-0.993383,-1.351086
14,0.782050,1.041434,0.814579,-0.739406,-2.117159
15,0.657096,1.347534,2.046813,-0.864651,-1.937134
16,0.637357,0.858110,0.489238,-0.736778,-2.808768
17,0.384136,1.975481,4.808089,-0.846797,-1.271930
18,0.384136,1.973304,4.767137,-0.781277,-1.275641
19,0.637357,0.860251,0.451803,-0.631985,-2.808768
20,0.384136,1.975481,4.767137,-0.781179,-1.275641
21,0.379870,1.973243,4.767137,-0.678354,-1.086621
22,0.683893,0.858110,0.488754,-0.979911,-2.853069
23,0.619027,1.555523,2.420795,-0.997791,-1.865511
24,0.683893,0.864506,0.488754,-0.979143,-2.853069
25,0.619027,1.555523,2.419944,-0.996325,-1.865511
26,0.657096,1.347534,2.046813,-0.864651,-1.937134
27,0.633088,0.845468,0.489238,-0.860197,-2.809809
28,0.657096,1.347534,2.047664,-0.864651,-1.937134
29,0.408510,1.984637,4.767137,-0.993383,-1.351086
30,0.410788,1.984637,4.767137,-0.972019,-1.360777
31,0.782050,1.041434,0.814579,-0.739406,-2.117159
32,0.637357,0.858110,0.489238,-0.736778,-2.808768
33,0.406182,1.984637,4.767137,-0.986760,-1.342341
34,0.637357,0.860251,0.451803,-0.631985,-2.808768
35,0.384136,1.973304,4.767137,-0.781277,-1.275641
36,0.384136,1.923436,4.767137,-0.846916,-1.271930
