Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance,Critical
0,0.555045,1.599519,3.017434,-0.999999,-1.710027,1
1,0.587280,1.613454,2.609601,-0.880200,-3.275635,1
2,0.624292,1.694687,2.609737,-0.999988,-1.869635,1
3,0.644501,1.646129,2.237196,-0.692604,-3.478197,1
4,0.649554,1.565542,2.325418,-0.999908,-1.933264,1
5,0.652913,1.996510,2.683201,-0.980491,-1.937946,1
6,0.654944,1.991699,2.609630,-0.998765,-1.937924,1
7,0.999693,1.557832,0.340268,-0.560200,-4.990296,0
8,0.999741,1.557832,0.340268,-0.560200,-4.990296,0
9,0.999979,1.557810,0.338808,-0.543345,-5.005816,0
