Index,car_width,car_length,sampling_rate,isCollision,ego_vimpact,min_ttc,stopCondition,endTime,timeCollision
0,1.98,4.31,100,1.00,2.43,10.00,4.00,4.86,-1
1,1.98,4.31,100,1.00,2.37,10.00,4.00,4.66,-1
2,1.98,4.31,100,1.00,2.13,10.00,4.00,4.57,-1
3,1.98,4.31,100,1.00,1.38,10.00,4.00,7.25,-1
4,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
5,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
6,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
7,1.98,4.31,100,1.00,2.51,10.00,4.00,5.21,-1
8,1.98,4.31,100,1.00,2.07,10.00,4.00,4.85,-1
9,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
10,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
11,1.98,4.31,100,0.00,0.00,0.34,3.00,10.00,-1
12,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
13,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
14,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
15,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
16,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
17,1.98,4.31,100,1.00,1.82,10.00,4.00,6.97,-1
18,1.98,4.31,100,1.00,1.90,10.00,4.00,5.96,-1
19,1.98,4.31,100,0.00,0.00,0.34,3.00,10.00,-1
20,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
21,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
22,1.98,4.31,100,0.00,0.00,0.24,3.00,10.00,-1
23,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
24,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
25,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
26,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
27,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
28,1.98,4.31,100,0.00,0.00,0.32,3.00,10.00,-1
29,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
30,1.98,4.31,100,0.00,0.00,0.45,3.00,10.00,-1
31,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
32,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
33,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
34,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
35,1.98,4.31,100,0.00,0.00,0.42,3.00,10.00,-1
36,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
37,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
38,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
39,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
40,1.98,4.31,100,1.00,2.13,10.00,4.00,4.57,-1
41,1.98,4.31,100,1.00,1.38,10.00,4.00,7.25,-1
42,1.98,4.31,100,1.00,2.35,10.00,4.00,4.58,-1
43,1.98,4.31,100,1.00,2.73,10.00,4.00,4.33,-1
44,1.98,4.31,100,1.00,2.29,10.00,4.00,4.65,-1
45,1.98,4.31,100,1.00,2.07,10.00,4.00,4.85,-1
46,1.98,4.31,100,1.00,2.08,10.00,4.00,4.86,-1
47,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
48,1.98,4.31,100,1.00,2.08,10.00,4.00,4.89,-1
49,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
50,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
51,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
52,1.98,4.31,100,1.00,2.43,10.00,4.00,4.86,-1
53,1.98,4.31,100,1.00,2.37,10.00,4.00,4.66,-1
54,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
55,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
56,1.98,4.31,100,1.00,2.51,10.00,4.00,5.21,-1
57,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
58,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
59,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
60,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
61,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
62,1.98,4.31,100,1.00,2.08,10.00,4.00,5.36,-1
63,1.98,4.31,100,0.00,0.00,0.34,3.00,10.00,-1
64,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
65,1.98,4.31,100,0.00,0.00,0.34,3.00,10.00,-1
66,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
67,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
68,1.98,4.31,100,1.00,2.37,10.00,4.00,4.91,-1
69,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
70,1.98,4.31,100,0.00,0.00,0.31,3.00,10.00,-1
71,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
72,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
73,1.98,4.31,100,0.00,0.00,0.24,3.00,10.00,-1
74,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
75,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
76,1.98,4.31,100,0.00,0.00,0.23,3.00,10.00,-1
77,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
78,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
79,1.98,4.31,100,1.00,1.90,10.00,4.00,5.96,-1
80,1.98,4.31,100,1.00,2.13,10.00,4.00,4.57,-1
81,1.98,4.31,100,1.00,1.38,10.00,4.00,7.25,-1
82,1.98,4.31,100,1.00,2.29,10.00,4.00,4.65,-1
83,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
84,1.98,4.31,100,1.00,2.30,10.00,4.00,4.55,-1
85,1.98,4.31,100,1.00,2.77,10.00,4.00,4.08,-1
86,1.98,4.31,100,1.00,2.07,10.00,4.00,4.85,-1
87,1.98,4.31,100,1.00,2.08,10.00,4.00,4.86,-1
88,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
89,1.98,4.31,100,1.00,2.08,10.00,4.00,4.89,-1
90,1.98,4.31,100,1.00,1.38,10.00,4.00,7.27,-1
91,1.98,4.31,100,0.00,0.00,0.21,3.00,10.00,-1
92,1.98,4.31,100,1.00,2.73,10.00,4.00,4.33,-1
93,1.98,4.31,100,1.00,2.54,10.00,4.00,4.33,-1
