Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance
0,0.289014,0.944878,4.491493,-0.798505,-1.016219
1,0.598483,1.706457,2.846331,-0.985766,-1.804361
2,0.583945,1.150064,2.263007,-0.689479,-1.773053
3,0.468039,1.506022,3.799151,-0.868375,-1.491367
4,0.571813,1.627463,2.830371,-0.987408,-1.756794
5,0.886927,0.988471,0.202932,-0.943545,-2.777709
6,0.258376,0.802788,4.910021,-0.988708,-0.924982
7,0.354641,0.719624,2.699302,-0.993754,-1.194420
8,0.497576,0.802329,1.497638,-0.973393,-1.569517
9,0.382042,1.238963,4.287369,-0.945783,-1.263749
10,0.312653,0.930743,4.638903,-0.933766,-1.084335
11,0.324056,0.564290,2.293270,-0.745814,-1.114057
12,0.479577,1.075539,2.455840,-0.978143,-1.529968
13,0.460035,1.197570,2.603516,-0.919663,-2.745043
14,0.615833,0.842453,0.657475,-0.968629,-2.703057
15,0.378038,0.992295,3.834587,-0.666393,-1.260250
16,0.497886,0.653078,0.554991,-0.960371,-1.569685
17,0.447630,0.727713,1.453429,-0.994008,-1.437666
18,0.303428,0.747194,2.090937,-0.688996,-1.345137
19,0.285321,0.511081,1.218353,-0.810800,-0.998209
20,0.380934,1.499591,4.787359,-0.786421,-1.262684
21,0.369045,0.797293,2.995549,-0.944185,-1.241252
22,0.524588,1.438757,3.144153,-0.737711,-1.633874
23,0.758025,1.719479,1.900640,-0.976182,-2.086566
24,0.516434,0.844482,1.294090,-0.779620,-2.608226
25,0.361389,1.120376,4.256348,-0.993391,-1.217205
26,0.741686,0.762088,0.018483,-0.614967,-0.527380
27,0.441134,0.914255,1.282785,-0.775945,-2.788714
28,0.566831,0.840381,1.090014,-0.961679,-2.567721
29,0.832951,1.641934,1.504572,-0.852947,-2.305689
30,0.257290,0.588632,0.071045,-0.793513,-0.927025
31,0.277353,0.629796,3.038978,-0.869570,-0.982788
32,0.383084,1.331268,3.922089,-0.735823,-2.232861
33,0.313496,0.967534,3.624676,-0.771053,-1.437177
34,0.658494,1.797857,2.412680,-0.992637,-1.937641
35,0.630200,1.381326,2.192518,-0.974574,-1.877172
36,0.265989,0.547663,2.582787,-0.995063,-0.967181
37,0.384301,1.701135,4.492555,-0.726903,-1.279353
38,0.635143,1.596447,2.325991,-0.984465,-1.894127
39,0.309410,0.923814,4.362258,-0.984027,-1.080665
40,0.522608,0.668878,0.424874,-0.621530,-2.351966
41,0.377439,0.853511,3.108525,-0.995490,-1.260159
42,0.653351,0.886419,0.604910,-0.755410,-2.828486
43,0.785379,1.742765,1.834690,-0.987264,-2.125652
44,0.410459,0.690509,1.074452,-0.964340,-2.408209
45,0.469604,0.617658,0.536438,-0.993499,-1.498189
46,0.306100,1.002726,4.488193,-0.931722,-1.077442
47,0.310709,0.737429,1.873903,-0.758722,-1.409290
48,0.790588,1.523701,1.678880,-0.726102,-2.142191
49,0.533187,1.707285,3.364839,-0.811576,-1.665626
50,0.442122,0.680388,0.529897,-0.898923,-2.373850
51,0.435193,0.882883,2.328911,-0.633005,-2.338273
52,0.503460,0.754292,1.097926,-0.907220,-2.213109
53,0.363666,1.317302,4.542281,-0.985652,-1.223240
54,0.468402,1.213015,3.248157,-0.970696,-1.491626
55,0.520131,0.729899,0.576651,-0.631507,-0.114158
56,0.462975,1.490968,3.326057,-0.612837,-2.576449
57,0.776389,1.421566,1.653862,-0.608194,-2.105464
58,0.755662,1.511125,1.811575,-0.804905,-2.085837
59,0.422234,0.723131,1.897534,-0.976243,-1.377011
60,0.413658,1.064193,3.281597,-0.989203,-1.372254
61,0.831995,1.871574,1.730292,-0.718899,-2.302594
62,0.449145,0.869352,2.140259,-0.987177,-1.443663
63,0.297251,0.849376,4.632444,-0.792201,-1.039624
64,0.253415,0.944085,3.600385,-0.654338,-0.930786
65,0.405229,0.638972,1.352620,-0.984076,-1.338671
66,0.482347,1.473766,3.431899,-0.992804,-1.536709
67,0.506267,0.731046,1.167433,-0.807796,-1.573391
68,0.308059,0.694217,3.414198,-0.990486,-1.078404
69,0.450360,1.724028,4.083009,-0.992231,-1.447963
70,0.705045,1.437763,1.432579,-0.642872,-3.698601
71,0.365078,0.673195,1.463790,-0.770545,-1.889562
72,0.421676,1.696346,4.357098,-0.989730,-1.376256
73,0.348976,1.005334,4.140461,-0.991342,-1.175762
74,0.302202,0.921200,4.787646,-0.897030,-1.063365
75,0.472543,1.799834,3.707241,-0.938459,-1.508144
