Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance,Critical
0,0.322046,0.596760,2.044778,-0.999822,-1.107094,1
1,0.380511,0.597837,0.516726,-0.997514,-2.325762,1
2,0.452470,1.314378,3.019733,-0.873897,-2.719272,1
3,0.463160,1.773503,4.053779,-0.999700,-1.477426,1
4,0.477374,1.299395,2.903525,-0.994195,-2.440105,1
5,0.511421,0.810018,1.177506,-0.956804,-2.693962,1
6,0.536831,0.842250,1.388844,-0.983130,-2.478108,1
7,0.596273,0.821762,0.475413,-0.721433,-2.722175,1
8,0.637229,1.801918,2.566128,-0.999359,-1.900333,1
9,0.638487,1.928660,2.714450,-0.998837,-1.904120,1
10,0.765540,1.594328,1.463914,-0.585515,-3.752005,0
11,0.795202,1.647889,1.372398,-0.556626,-4.000372,0
12,0.857162,1.793418,1.282391,-0.413522,-4.099645,0
13,0.873912,0.989182,0.096337,-0.676331,-3.261056,1
14,0.986048,1.712464,0.584165,-0.212635,-4.645962,0
