Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Critical adapted distance,Velocity at critical distance,Critical
0,0.100000,0.500000,0.000000,-0.000550,-0.543839,0
1,0.100000,0.500000,0.263158,-0.000545,-0.543839,0
2,0.100000,0.500000,0.526316,-0.000540,-0.543839,0
3,0.100000,0.500000,0.789474,-0.000535,-0.543839,0
4,0.100000,0.500000,1.052632,-0.000530,-0.543839,0
5,0.100000,0.500000,1.315789,-0.000526,-0.543839,0
6,0.100000,0.500000,1.578947,-0.000521,-0.543839,0
7,0.100000,0.500000,1.842105,-0.000516,-0.543839,0
8,0.100000,0.500000,2.105263,-0.000511,-0.543839,0
9,0.100000,0.500000,2.368421,-0.000507,-0.543839,0
10,0.100000,0.500000,2.631579,-0.000502,-0.543839,0
11,0.100000,0.500000,2.894737,-0.000497,-0.543839,0
12,0.100000,0.500000,3.157895,-0.000475,-0.543839,0
13,0.100000,0.500000,3.421053,-0.000332,-0.543839,0
14,0.100000,0.500000,3.684211,-0.000167,-0.543839,0
15,0.100000,0.500000,3.947368,-0.000060,-0.543839,0
16,0.100000,0.500000,4.210526,-0.000014,-0.543839,0
17,0.100000,0.500000,4.473684,-0.000003,-0.543839,0
18,0.100000,0.500000,4.736842,-0.000000,-0.543839,0
19,0.100000,0.500000,5.000000,-0.000000,-0.543839,0
20,0.147368,0.500000,0.000000,-0.005133,-0.643828,0
21,0.147368,0.500000,0.263158,-0.005185,-0.643828,0
22,0.147368,0.500000,0.526316,-0.005237,-0.643828,0
23,0.147368,0.500000,0.789474,-0.005289,-0.643828,0
24,0.147368,0.500000,1.052632,-0.005344,-0.643828,0
25,0.147368,0.500000,1.315789,-0.005398,-0.643828,0
26,0.147368,0.500000,1.578947,-0.005452,-0.643828,0
27,0.147368,0.500000,1.842105,-0.005508,-0.643828,0
28,0.147368,0.500000,2.105263,-0.005563,-0.643828,0
29,0.147368,0.500000,2.368421,-0.005619,-0.643828,0
30,0.147368,0.500000,2.631579,-0.004938,-0.643828,0
31,0.147368,0.500000,2.894737,-0.003100,-0.643828,0
32,0.147368,0.500000,3.157895,-0.001389,-0.643828,0
33,0.147368,0.500000,3.421053,-0.000422,-0.643828,0
34,0.147368,0.500000,3.684211,-0.000095,-0.643828,0
35,0.147368,0.500000,3.947368,-0.000015,-0.643828,0
36,0.147368,0.500000,4.210526,-0.000002,-0.643828,0
37,0.147368,0.500000,4.473684,-0.000000,-0.643828,0
38,0.147368,0.500000,4.736842,-0.000000,-0.643828,0
39,0.147368,0.500000,5.000000,-0.000000,-0.643828,0
40,0.194737,0.500000,0.000000,-0.052728,-0.792796,0
41,0.194737,0.500000,0.263158,-0.052633,-0.792796,0
42,0.194737,0.500000,0.526316,-0.052538,-0.792796,0
43,0.194737,0.500000,0.789474,-0.052444,-0.792796,0
44,0.194737,0.500000,1.052632,-0.052346,-0.792796,0
45,0.194737,0.500000,1.315789,-0.052251,-0.792796,0
46,0.194737,0.500000,1.578947,-0.052157,-0.792796,0
47,0.194737,0.500000,1.842105,-0.052059,-0.792796,0
48,0.194737,0.500000,2.105263,-0.051966,-0.792796,0
49,0.194737,0.500000,2.368421,-0.051872,-0.792796,0
50,0.194737,0.500000,2.631579,-0.051775,-0.792796,0
51,0.194737,0.500000,2.894737,-0.046792,-0.792796,0
52,0.194737,0.500000,3.157895,-0.030442,-0.792796,0
53,0.194737,0.500000,3.421053,-0.013623,-0.792796,0
54,0.194737,0.500000,3.684211,-0.004451,-0.792796,0
55,0.194737,0.500000,3.947368,-0.001037,-0.792796,0
56,0.194737,0.500000,4.210526,-0.000160,-0.792796,0
57,0.194737,0.500000,4.473684,-0.000019,-0.792796,0
58,0.194737,0.500000,4.736842,-0.000002,-0.792796,0
59,0.194737,0.500000,5.000000,-0.000000,-0.792796,0
60,0.242105,0.500000,0.000000,-0.320195,-0.024980,0
61,0.242105,0.500000,0.263158,-0.328921,-0.100439,0
62,0.242105,0.500000,0.526316,-0.331888,-0.103298,0
63,0.242105,0.500000,0.789474,-0.334927,-0.103298,0
64,0.242105,0.500000,1.052632,-0.338113,-0.103298,0
65,0.242105,0.500000,1.315789,-0.370557,-0.152959,0
66,0.242105,0.500000,1.578947,-0.437266,-0.255582,0
67,0.242105,0.500000,1.842105,-0.473161,-0.262943,0
68,0.242105,0.500000,2.105263,-0.494549,-0.259214,0
69,0.242105,0.500000,2.368421,-0.500735,-0.318986,0
70,0.242105,0.500000,2.631579,-0.523103,-0.910057,0
71,0.242105,0.500000,2.894737,-0.471675,-0.910057,0
