Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance,Critical
0,0.662500,0.875000,0.625000,-0.968843,-2.923113,1
1,0.850000,0.937500,0.000000,-0.898587,-3.291325,1
2,0.887500,0.937500,0.000000,-0.999323,-2.877077,1
3,0.587500,1.312500,1.875000,-0.867637,-3.328142,1
4,1.000000,1.437500,0.000000,-0.371802,-5.005821,0
5,0.850000,1.500000,0.833333,-0.730442,-4.376549,1
6,1.000000,1.500000,0.208333,-0.535427,-5.005816,0
7,0.925000,1.562500,0.625000,-0.595597,-4.639037,0
8,0.962500,1.750000,0.833333,-0.561551,-4.784131,0
9,0.587500,2.000000,2.916667,-0.999490,-1.773916,1
10,0.550000,0.750000,0.416667,-0.999098,-2.593548,1
11,0.512500,0.812500,1.250000,-0.996075,-2.697617,1
12,0.662500,0.812500,0.208333,-0.995735,-2.837930,1
13,0.700000,0.812500,0.000000,-0.955565,-2.860672,1
14,0.700000,0.875000,0.416667,-0.965708,-2.860505,1
15,0.587500,1.250000,1.666667,-0.829681,-3.328142,1
16,0.662500,1.000000,0.000000,-0.709760,-3.813449,1
17,0.812500,1.437500,0.833333,-0.625927,-4.247443,1
18,0.962500,1.375000,0.000000,-0.521622,-4.851018,0
19,1.000000,1.625000,0.416667,-0.311913,-4.953348,0
20,1.000000,1.875000,0.833333,-0.326841,-4.871811,0
21,0.812500,1.187500,0.000000,-0.534664,-4.337117,0
22,0.850000,1.437500,0.625000,-0.526928,-4.343546,0
23,0.437500,1.625000,4.166667,-0.999133,-1.408486,1
24,0.437500,0.625000,0.000000,-0.997765,-2.427769,1
25,0.662500,1.625000,2.291667,-0.998511,-1.937700,1
26,0.625000,0.812500,0.416667,-0.982973,-2.798451,1
27,0.812500,0.937500,0.208333,-0.895423,-2.842924,1
28,0.887500,1.000000,0.208333,-0.825897,-2.877333,1
29,0.925000,1.000000,0.000000,-0.737270,-3.192088,1
30,0.550000,1.375000,2.291667,-0.749231,-3.074894,1
31,0.700000,1.125000,0.416667,-0.672763,-3.805635,1
32,0.812500,1.625000,1.250000,-0.580591,-4.129714,0
33,0.812500,1.875000,1.666667,-0.614395,-4.034570,1
34,0.925000,1.500000,0.416667,-0.343636,-4.638868,0
35,0.925000,1.687500,0.833333,-0.461992,-4.638403,0
36,0.925000,1.812500,1.041667,-0.474943,-4.607422,0
37,0.962500,1.562500,0.416667,-0.319015,-4.783464,0
38,1.000000,1.750000,0.625000,-0.264000,-4.837909,0
39,0.850000,1.625000,1.041667,-0.517337,-4.280564,0
40,0.400000,0.625000,0.416667,-0.983912,-2.389575,1
41,0.400000,0.687500,1.250000,-0.986307,-2.349573,1
42,0.550000,0.750000,1.041667,-0.992913,-2.264963,1
43,0.437500,1.125000,3.333333,-0.998306,-1.408486,1
44,0.400000,1.875000,4.791667,-0.998453,-1.318540,1
45,0.662500,1.875000,2.500000,-0.996685,-1.937700,1
46,0.512500,0.687500,0.000000,-0.982971,-2.637356,1
47,0.587500,0.812500,0.625000,-0.977140,-2.708786,1
48,0.625000,0.875000,0.833333,-0.957605,-2.715927,1
49,0.700000,0.937500,0.833333,-0.954449,-2.773628,1
50,0.962500,1.000000,0.000000,-0.942012,-2.781477,1
51,0.437500,0.812500,0.625000,-0.848735,-2.785988,1
52,0.662500,0.812500,0.000000,-0.768106,-2.837849,1
53,0.475000,1.125000,2.083333,-0.795527,-2.798938,1
54,0.550000,1.187500,1.666667,-0.718143,-3.165915,1
55,0.475000,0.875000,0.625000,-0.722172,-2.920836,1
56,0.625000,1.125000,0.833333,-0.668024,-3.538307,1
57,0.662500,1.437500,1.666667,-0.657885,-3.670060,1
58,0.700000,1.437500,1.458333,-0.635926,-3.729542,1
59,0.662500,1.187500,0.833333,-0.589052,-3.795175,0
